School Name	Address	Head Teacher
Green Oaks Primary Academy (Primary, with SEN Unit or Resourced Provision)	Green Oaks Primary School, Whiston Road, Northampton, NN2 7RR	Mrs Rebecca Osborne
Greenfields Community Primary School (Primary)	Greenfields Primary School, Highfield Road, Kettering, NN15 6HY	Mrs Rebecca Gray
Greenfields Specialist School for Communication (Special - Secondary)	Greenfields School & Sport College, Prentice Court, Northampton, NN3 8XS	Mrs Lisa-Marie Atack
Greens Norton Church of England Primary School (Primary)	Greens Norton C Of E Primary School, Calvert Road, Greens Norton, NN12 8DD	Helen Smith
Grendon Church of England Primary School (Primary)	Grendon Church Of England Primary S, Main Road, Grendon, Wellingborough, NN7 1JW	Mr John Wayland
Gretton Primary School (Primary)	Gretton Primary School, Kirby Road, Gretton, NN17 3DB	Mrs Jane MacDonald
Guilsborough Church of England Primary School (Primary)	Guilsborough Church of England, The Green, Guilsborough, NN6 8PT	Dr Yvonne Watts
Guilsborough School Academy Trust (Secondary)	Guilsborough School Academy Trust, West Haddon Road, Guilsborough, NN6 8QE	Mrs Christine Staley
Hackleton Church Of England Aided Primary School (Primary)	Hackleton Primary School, Main Road, Hackleton, NN7 2AB,	Mrs Andrea Revens
Hall Meadow Primary School (Primary)	Hall Meadow Primary School , Packer Road, Kettering, NN15 7RP	Ms Lorraine Cullen
Hardingstone Academy (Primary)	Hardingstone Academy, Martins Lane, Northampton, NN4 6DJ	Mrs Zoe McIntyre
Harlestone Primary School (Primary)	Harlestone Primary School, Church Lane, Lower Harlestone, NN7 4EN	Mr John Sarbutts
Harpole Primary School (Primary)	Harpole C Of E Primary School, Larkhall Lane, Harpole, Northampton, NN7 4DP	Mr Terence Mortimer
Hartwell Primary School (Primary)	Hartwell Primary School, School Lane, Hartwell, NN7 2HL	Mrs Jayne Clancy
Havelock Infant School (Infant)	Havelock Infants School, Havelock Street, Desborough, Kettering, NN14 2LU	Mrs Ann Davey
Havelock Junior School (Junior)	Havelock Junior School, Havelock Street, Desborough, Kettering, NN14 2LU	Mr Kier Dicken
Hawthorn Community Primary School (Primary)	Hawthorn Primary School, Hawthorn Road, Kettering, NN15 7HT	Miss Karena Corkill
Hazel Leys Primary and Nursery School (Primary, with Nursery Unit)	Hazel Leys Primary & Nursery School, Gainsborough Road, Corby, NN18 0QF	Mrs Inga Bain
Headlands Primary School (Primary, with Nursery Unit and SEN Unit or Resourced Provision)	Headlands Primary School, Bushland Road, Northampton, NN3 2NS	Mr Andrew Lakatos
Helmdon Primary School (Primary)	Helmdon Primary School, Station Road, Helmdon, NN13 5QT	Mrs Julie Crouch
Henry Chichele Primary School (Primary)	Henry Chichele Primary School, School Lane, Higham Ferrers, NN10 8NQ	Mr Stephen McClymont
Higham Ferrers Junior School (Junior)	Higham Ferrers Junior School, Saffron Road, Higham Ferrers, NN10 8ED	Mr Andrew Brown
Higham Ferrers Nursery and Infant School (Infant, with Nursery Unit)	Higham Ferrers Nursery & Infant Sch, Wharf Road, Higham Ferrers, NN10 8BQ	Mrs Joanna Hutchinson
Highfield Nursery School and Children's Centre (Nursery)	Highfield Nursery School, Finedon Road, Wellingborough, NN8 4AB	Miss Lyndsey Barnett
Hopping Hill Primary School (Primary, with Nursery Unit and SEN Unit or Resourced Provision)	Hopping Hill Primary School, Pendle Road, Northampton, NN5 6DT	Mrs Samantha Phillips
Hospital and Outreach Education (Pupil Referral Unit)	Hospital and Outreach Education , Main Road, Far Cotton, Northampton, NN4 8EN	Mrs Cath Kitchen
Hunsbury Park Primary School (Primary, with SEN Unit or Resourced Provision)	Hunsbury Park Primary School, Dayrell Road, Northampton, NN4 9RR,	Mrs Gail Barnshaw
Huxlow Science College (Secondary)	Huxlow Science College, Finedon Road, Irthlingborough, NN9 5TY	Mr Steve Gordon
Irchester Community Primary School (Primary)	Irchester Community Primary School, School Lane, Irchester, Wellingborough, NN29 7AZ	Mrs Julia Alison
Irthlingborough Junior School (Junior)	Irthlingborough Primary School, College Street, Irthlingborough, NN9 5TX	Mrs Susan Drake
Irthlingborough Nursery and Infant School (Infant, with Nursery Unit)	Irthlingborough Infant School, Scarborough Street, Irthlingborough, NN9 5TT	Ms Jan Marshall
Isebrook SEN Cognition & Learning College (Special - Secondary)	Isebrook SEN College , Eastleigh Road, Kettering, NN15 6PT	Mrs Denise Williams
Isham Church of England Primary School (Primary)	Isham C Of E Va Primary School, Church Street, Isham, Wellingborough, NN14 1HD	Mrs Kirstin Howarth
John Hellins Primary School (Primary)	John Hellins Primary School, High Street, Potterspury, NN12 7PG	Mrs Jodie Matthews
Kettering Buccleuch Academy (All Through School)	Kettering Buccleuch Academy, Weekley Glebe Road, Kettering, NN16 9NS,	Mr James Bowkett
Kettering Buccleuch Academy Primary Phase (All Through School)	Kettering Buccleuch Academy, Weekley Glebe Road, Kettering, NN16 9NS,	Mr James Bowkett
Kettering East Primary School (Primary)	Address not yet available	
Kettering Science Academy (All Through School, with SEN Unit or Resourced Provision)	Kettering Science Academy, Deeble Road, Kettering, NN15 7AA	Mr Paul Davies
Kettering Science Academy Primary Phase (All Through School, with SEN Unit or Resourced Provision)	Kettering Science Academy, Windmill Avenue, Kettering, NN15 7EA	Miss Anne O'Neill
Kilsby CE Primary School (Primary)	Kilsby C of E Primary School, Manor Road, Kilsby, CV23 8XS	Mrs Catherine Freeth
Kings Cliffe Endowed School (Lower)	Kings Cliffe Endowed School, Park Street, Kings Cliffe, PE8 6XN	Mrs Lynda Bowyer
Kings Heath Academy (Primary, with Nursery Unit)	Kings Heath Primary School, North Oval, Northampton, NN5 7LN	Mrs Alison Hawkes
Kings Meadow School (Special - Primary)	Kings Meadow School, Manning Road, Northampton, NN3 7AR	Mrs Helen McCormack
Kings Sutton Primary School (Primary)	Kings Sutton Primary School, Richmond Street, Kings Sutton, OX17 3RT	Mr Nicholas Peters
Kingsley Primary School (Primary)	Kingsley Lower School, Wallace Road, Northampton, NN2 7EE	Mrs Sue Lane
Kingsley School (Special - Primary, with Nursery Unit)	Kingsley School, Churchill Way, Kettering, NN15 5DP	Mr Tomas O'Duibhir
Kingsthorpe College (Secondary)	Kingsthorpe Community College, Boughton Green Road, Northampton, NN2 7HR	Ms Debbie Morrison
Kingsthorpe Grove Primary School (Primary, with Nursery Unit and SEN Unit or Resourced Provision)	St Davids Road, Northampton, NN2 7QL	Mr Jamie Nairn
Kingsthorpe Village Primary School (Primary)	Kingsthorpe Village Primary School, Knights Lane, Northampton, NN2 6QL	Mr Brian Gwynne
Kingswood Primary Academy (Primary)	Kingswood Primary School, Southbrook, Corby, NN18 9BE	Mrs Wendy Gordon
Kingswood Secondary Academy (Secondary, with SEN Unit or Resourced Provision)	The Kingswood School, Gainsborough Road, Corby, NN18 9NS	Mr Scott Hudson
Kislingbury Primary School (Primary)	Kislingbury Vc Primary School, High Street, Kislingbury, Northampton, NN7 4AQ	Mr Neil Tyler
Lings Primary School (Primary)	Lings Primary School, Hayeswood Road, Northampton, NN3 8NN	Mr Leigh Wolmarans
Little Harrowden Community Primary School (Primary)	Little Harrowden Primary School, School Lane, Little Harrowden, Wellingborough, NN9 5BN	Miss Jacinta Foo
Little Houghton Church of England Primary (Primary)	Little Houghton C Of E Primary Scho, Lodge Close, Little Houghton, NN7 1AF	Mrs Carolyn Fairbrother
Little Stanion Primary School (Primary)	Little Stanion Primary School, Long Croft Road, Corby, NN18 8EY	Mrs Helen Williams
Loatlands Primary School (Primary, with Nursery Unit)	Loatlands County Primary School, Harrington Road, Desborough, Kettering, NN14 2NJ	Mr Ashley Izzard
Loddington CEVA Primary School (Primary)	Loddington C Of E Primary School, Main Street, Loddington, Kettering, NN14 1LA	Mrs Susan Walters
Lodge Park Academy (Secondary)	Lodge Park Academy, Shetland Way, Corby, NN17 2JH	Mrs Alison Hayes
Long Buckby Infant School (Infant)	Long Buckby Infants School, High Street, Long Buckby, NN6 7RE	Mrs Sarah Dugdale
Long Buckby Junior School (Junior)	Long Buckby Junior School, South Close, Long Buckby, NN6 7PX	Mr Anthony Cox
Lumbertubs Primary School (Primary, with SEN Unit or Resourced Provision)	Lumbertubs Lower School, Tonmead Road, Northampton, NN3 8HZ	Mrs Ceri Cook
Lyncrest Primary School (Primary, with Nursery Unit)	Lyncrest Primary School, Lyncrest Avenue, Northampton, NN5 5PE	Mrs Sally O'Neill
Magdalen College School (Secondary)	Magdalen College School, Waynflete Avenue, Brackley, Northamptonshire, NN13 6FB	Mr Ian Colling
Maidwell Primary School (Primary)	Maidwell Primary School, Draughton Road, Maidwell, Northampton, NN6 9JF	Mrs Rosemarie James
Malcolm Arnold Academy (Secondary, with SEN Unit or Resourced Provision)	Malcolm Arnold Academy Secondary Sc, Trinity Avenue, Northampton, NN2 6JW	Mr Chris Steed
Malcolm Arnold Prep School (Primary)	Malcolm Arnold Preparatory School, Trinity Avenue, Northampton, NN2 6JW	Ms Marie Lally
Manor School and Sports College (Secondary)	Manor School and Sports College, Mountbatten Way, Raunds, NN9 6PA	Mrs Linda Brooks
Maplefields School (Special -All Through)	Maplefields School, Tower Hill Road, Corby, NN18 0TH	Mrs Lynda Morgan
Mawsley Community Primary School (Primary)	Mawsley Community Primary School, Scholars Row, Mawsley, Kettering, NN14 1GZ,	Mrs Elaine Wright
Meadowside Primary School (Primary)	Meadowside Primary School, Park Road, Burton Latimer, Kettering, NN15 5QY	Mr Jim Balmbra
Mears Ashby CEVA Endowed Primary School (Primary)	Mears Ashby CEVA Primary School, 30 North Street, Mears Ashby, Wellingborough, NN6 0DW	Mrs Amanda Molcher
Middleton Cheney Community Primary School (Primary)	Middleton Cheney Primary School, Main Road, Middleton Cheney, Banbury , Oxfordshire, OX17 2PD	Mr Philip Percival
Millbrook Infant School (Infant, with SEN Unit or Resourced Provision)	Millbrook Infant School, Churchill Way, Kettering, NN15 5BZ	Mrs Pat Kelly
Millbrook Junior School (Junior, with SEN Unit or Resourced Provision)	Millbrook Junior School, Churchill Way, Kettering, NN15 5DP	Mrs Tracy Fielding
Millway Primary School (Primary)	Millway Primary School, Millway, Northampton, NN5 6ES	Mr Andrew Debenham
Milton Parochial Primary School (Primary)	Milton Parochial Primary School, Green Street, Milton Malsor, Northampton, NN7 3AT	Mr Stephen Hollingshurst
Montsaye Academy (Secondary)	Montsaye School, Greening Road, Rothwell, Kettering, NN14 6BB	Mr Jason Cumming
Moulton Primary School (Primary)	Moulton Primary School, Church Hill, Moulton, NN3 7SW	Mrs Deborah Bastin
Moulton School & Science College (Secondary)	Moulton School And Science College, Pound Lane, Moulton, Northampton, NN3 7SD	Mr Trevor Jones
Naseby Church of England Primary School (Primary)	Naseby Church Of England Primary Sc, School Lane, Naseby, NN6 6BZ	Mrs Beverley Thornton
Nassington Primary School (Lower)	Nassington Primary School, 26 Church Street, Nassington, PE8 6QG	Mrs Loraine Allen
Newbottle and Charlton CEVA Primary School (Primary)	Newbottle & Charlton Primary School, Green Lane, Charlton, OX17 3DN	Mrs Sarah Smith
Newnham Primary School (Primary)	Newnham Primary School, School Hill, Newnham, Daventry, NN11 3HG	Mrs Kim Cresswell
Nicholas Hawksmoor Primary School (Primary, with Nursery Unit and SEN Unit or Resourced Provision)	Nicholas Hawksmoor Primary School, Balmoral Close, Towcester, NN12 6JA	Ms Andrea Curtis
Northampton Academy (Secondary) (Secondary)	Northampton Academy, Wellingborough Road, Northampton, NN3 8NH	Mrs Anne Hill
Northampton School for Boys (Secondary)	Northampton School For Boys, Billing Road, Northampton, NN1 5RT	
Northampton School for Girls (Secondary)	Northampton School For Girls, Spinney Hill Road, Northampton, NN3 6DG	Mrs Julia Harley
Northgate School Arts College (Special - Secondary)	Northgate School Arts College, Queens Park Parade, Northampton, NN2 6LR	Miss Sheralee Webb
Oakley Vale Primary (Primary)	Oakley Vale Primary School, Cheltenham Road, Corby, NN18 8RH	Ms Emma Goodwin
Oakway Academy (Primary)	Oakway Academy, Oakway, Wellingborough, NN8 4SD	Mrs Clare Wallace
Old Stratford Primary School (Primary)	Old Stratford Primary School, Willow Grove, Old Stratford, MK19 6AZ	Mrs Gillian Tween
Olympic Primary School (Primary)	Olympic School, Olympic Way, Wellingborough, NN8 3QA	Ms Sharon Geater
Oundle and Kings Cliffe Middle School (Middle)	Oundle And Kings Cliffe Middle Scho, Cotterstock Road, Oundle, PE8 5HA	Mrs Janet McMurdo
Oundle Church of England Primary School (Lower)	Oundle Church Of England Primary Sc, Milton Road, Oundle, PE8 4AB	Mrs Janet McMurdo
Our Lady of Walsingham Catholic Primary School (Primary)	Our Lady Of Walsingham Roman Cathol, Occupation Road, Corby, NN17 1EE	Mrs Maire Hayes
Our Lady's Catholic Primary School (Primary)	Our Lady's Catholic Primary School, Henshaw Road, Wellingborough, NN8 2BE	Mr Clive Robinson
Overstone Primary School (Primary)	Overstone Primary School, Sywell Road, Overstone, Northampton, NN6 0AG	Mrs Janice Mardell
Park Infant School (Kettering) (Infant)	Park Infant School, Park Avenue, Kettering, NN16 9RU	Mrs Pauline Hulse
Park Junior School, Kettering (Junior)	Park Junior School, Wood Street, Kettering, NN16 9SE	Mr Christopher Durling
Park Junior School, Wellingborough (Junior, with SEN Unit or Resourced Provision)	Park Junior School, Great Park Street, Wellingborough, NN8 4PH	Mr David Tebbutt
Parklands Nursery School (Nursery)	Parklands Nursery School, Spinney Hill Road, Northampton, NN3 6DW,	Mrs Sarah Brooking
Parklands Primary School (Primary)	Parklands Primary School, Spinney Hill Road, Northampton, NN3 6DW,	Mrs Sally Gedney
Pattishall Church of England Primary School (Primary)	Pattishall C Of E Primary School, School Road, Pattishall, Towcester, NN12 8NE	Mr Lee Wood
Paulerspury Church of England Primary School (Primary)	Paulerspury Primary School, High Street, Paulerspury, NN12 7NA	Ms Sarah Whitlock-Pritchard
Pen Green Centre for Children and their Families (Nursery)	Pen Green Community Centre, Pen Green Lane, Corby, NN17 1BJ	Dr Margaret Whalley
Pitsford Primary School (Primary)	Pitsford Primary School, Moulton Road, Pitsford, NN6 9AU	Mr James Ayton
Polebrook Church of England Primary School (Lower)	Polebrook Church Of England Primary, Main Street, Polebrook, PE8 5LN	Mrs Hazel Johnson
Preston Hedges Primary School (Primary)	Preston Hedges Primary School, Wootton Hope Drive, Northampton, NN4 6BU	Mr Paul Watson
Prince William School (Secondary)	Prince William School, Herne Road, Oundle, PE8 4BS	Mr Mark Taitt
Pytchley Endowed Church of England Primary School (Primary)	Pytchley Endowed C Of E Primary Sch, High Street, Pytchley, Kettering, NN14 1EN	Mrs Julia Havlickova
Queen Eleanor Primary Academy (Primary)	Queen Eleanor Primary School, Queen Eleanor Road, Northampton, NN4 8NN	Ms Sue Cox
Raunds Park Infant School (Infant)	Raunds Park Infant School, Park Street, Raunds, NN9 6NB	Ms Lisa Jeffrey
Rectory Farm Primary School (Primary)	Rectory Farm Primary School, Olden Road, Northampton, NN3 5DD	Mr Michael Snelson
Redwell Primary School (Primary)	Redwell Primary School, Barnwell Road, Wellingborough, NN8 5LQ	Mrs Anne-Marie Ansell
