code	name	day	period	start_date	weeks	location	venue	places_available	full_fee	remitted_fee
U1NCC012D0	Hair - Basic Bridal Hair	Monday	Evening	13/04/2015	1	Northampton	The Northampton Academy	10	£12.50	£9.38
U1WLM181B0	Return To Learn To Refresh Your Skills	Tuesday	Evening	14/04/2015	10	Wellingborough	Wellingborough Museum	15	£105.00	£30.00
U1NCC121D0	Hair - Swinging Sixties Retro Hair	Tuesday	Evening	14/04/2015	1	Northampton	Caroline Chisholm School	10	£17.00	£13.25
U1NCC148A0	Home Cooking	Tuesday	Evening	14/04/2015	5	Northampton	Caroline Chisholm School	12	£67.50	£20.63
U1WUR189B3	Lip Reading And Comm. Tactics Int/Adv	Tuesday	Afternoon	14/04/2015	6	Wellingborough	Wellingborough URC Salem Hall	10	£13.50	£13.50
U1WUR191B1	Lip Reading And Comm. Tactics Beginners	Tuesday	Afternoon	14/04/2015	6	Wellingborough	Wellingborough URC Salem Hall	10	£-1.00	£-1.00
U1SMA187B3	Brazilian Portuguese Year 3 Part 1	Tuesday	Evening	14/04/2015	10	Northampton	Malcolm Arnold Academy	16	£105.00	£30.00
U1CBW185B1	An Introduction To British Sign Language	Tuesday	Evening	14/04/2015	10	Corby	Brooke Weston	16	£105.00	£30.00
U1BCL498B0	Using Ebay To Buy And Sell Items	Tuesday	Evening	14/04/2015	3	Brackley	Brackley Library	12	£35.00	£12.50
U1WVH187B1	Italian Holiday Language	Tuesday	Morning	14/04/2015	5	South Northants	Bugbrooke Sports and Community Ctr	16	£55.00	£17.50
S1NAC101B0	Public Speaking - Part 1	Tuesday	Evening	14/04/2015	10	Northampton	The Northampton Academy	11	£50.00	£11.80
U1WCH287B1	Basic British Sign Language	Wednesday	Evening	15/04/2015	5	Wellingborough	Sir Christopher Hatton Academy	16	£55.00	£17.50
U1WLM296B0	The Romans In Eastern England	Wednesday	Evening	15/04/2015	10	Wellingborough	Wellingborough Museum	15	£105.00	£30.00
U1NDS288B1	Spanish Holiday Language	Wednesday	Evening	15/04/2015	10	Northampton	The Duston School	16	£105.00	£30.00
U1HRS201C1	Learn To Ride A Horse - Beginners	Wednesday	Afternoon	15/04/2015	5	Northampton	Holcot Riding School	5	£120.00	£50.00
U1TGS269A0	Italian Cookery	Wednesday	Evening	15/04/2015	10	South Northants	The Gateway School	12	£105.00	£30.00
U1NRH295B0	Marketing A Business On A Shoe String	Wednesday	Evening	15/04/2015	5	Northampton	Riverside House	12	£55.00	£17.50
U1SMA281B1	French Holiday Language	Wednesday	Evening	15/04/2015	8	Northampton	Malcolm Arnold Academy	16	£85.00	£25.00
U1SMA284B2	Brazilian Portuguese Year 2 Part 1	Wednesday	Evening	15/04/2015	10	Northampton	Malcolm Arnold Academy	16	£105.00	£30.00
U1WHI290B3	Chinese (Mandarin) Advanced 1	Wednesday	Evening	15/04/2015	10	Brackley	Whitfield Village Hall	16	£105.00	£30.00
U1NAC202A0	Watercolour Techniques And Practices	Wednesday	Evening	15/04/2015	10	Northampton	The Northampton Academy	12	£110.00	£35.00
U1NAC214D0	Beautiful Nails - Gel Nails	Wednesday	Evening	15/04/2015	1	Northampton	The Northampton Academy	10	£10.00	£7.50
U1WLM385B2	Criminology - Intermediate	Thursday	Evening	16/04/2015	10	Wellingborough	Wellingborough Museum	15	£105.00	£30.00
U1NBC303D0	Make-Up - Over 50's	Thursday	Morning	16/04/2015	1	Northampton	Abington Bowling Club	10	£10.00	£7.50
U1HRS303C2	Learn To Ride A Horse - Improvers	Thursday	Morning	16/04/2015	5	Northampton	Holcot Riding School	5	£120.00	£50.00
U1CDL395B0	Confidence With My Chromebook	Thursday	Morning	16/04/2015	5	Corby	Danesholme Library	8	£55.00	£17.50
U1NCC342A1	Italian Cookery - Basics	Thursday	Evening	16/04/2015	2	Northampton	Caroline Chisholm School	12	£35.00	£12.50
U1SMA388B1	Portuguese Holiday Language	Thursday	Evening	16/04/2015	10	Northampton	Malcolm Arnold Academy	16	£105.00	£30.00
U1SMA398B3	Advanced Business For Crafters	Thursday	Evening	16/04/2015	5	Northampton	Malcolm Arnold Academy	12	£55.00	£17.50
U1HRS401C1	Learn To Ride A Horse - Beginners	Friday	Morning	17/04/2015	5	Northampton	Holcot Riding School	5	£120.00	£50.00
U1WCH500B1	Astrophotography	Saturday	Morning	18/04/2015	1	Wellingborough	Sir Christopher Hatton Academy	10	£35.00	£12.50
U1NLI574C0	Tai Chi - Introduction - New	Saturday	Morning	18/04/2015	1	Northampton	Limelight Theatre School	12	£9.00	£5.00
U1WWR555A1	Plumbing - Basics	Saturday	Morning	18/04/2015	1	Wellingborough	Wrenn School	12	£45.00	£22.50
U1OFH540A1	Dressmaking - Beginners Simple Garment	Saturday	Morning	18/04/2015	2	East Northants - Oundle	Fletton House	12	£65.00	£20.00
U1NDS543A0	Spice Up Your Salads	Saturday	Morning	18/04/2015	1	Northampton	The Duston School	12	£15.00	£11.25
U1NAA589B1	An Introduction To British Sign Language	Saturday	Morning	18/04/2015	1	Northampton	Abington Avenue United Reformed Church	16	£15.00	£11.25
U1NCC503C1	A Taste Of Bridge - Complete Novice	Saturday	Morning	18/04/2015	1	Northampton	Caroline Chisholm School	16	£25.00	£10.00
U1NCC514D0	Make Up -Fashion And Editorial	Saturday	Morning	18/04/2015	1	Northampton	Caroline Chisholm School	10	£10.00	£7.50
U1NCC548A0	Breads, Cakes And Other Bakes	Saturday	Morning	18/04/2015	4	Northampton	Caroline Chisholm School	12	£105.00	£30.00
U1NCC576A0	Photography - Portraiture	Saturday	Morning	18/04/2015	1	Northampton	Caroline Chisholm School	12	£35.00	£12.50
U1NCC589B0	Buying And Selling On Ebay	Saturday	Morning	18/04/2015	1	Northampton	Caroline Chisholm School	8	£30.00	£11.25
U1SMA515D0	Skin Care For Life -  Face Massage	Saturday	Afternoon	18/04/2015	1	Northampton	Malcolm Arnold Academy	12	£15.00	£11.25
U1NAC501A0	Prom Flowers	Saturday	Morning	18/04/2015	1	Northampton	The Northampton Academy	12	£41.00	£18.50
U1DVM543A0	Flower Arranging	Saturday	Morning	18/04/2015	1	Daventry	Daventry Methodist Church Rooms	12	£35.00	£12.50
U5NCC604D1	Reiki Level 1 - Certificated	Sunday	Morning	19/04/2015	2	Northampton	Caroline Chisholm School	8	£100.00	£100.00
U1WLM087B0	Mesopotamia And Ancient Egypt	Monday	Evening	20/04/2015	10	Wellingborough	Wellingborough Museum	15	£105.00	£30.00
U1NFR050C1	Line Dancing For Beginners	Monday	Evening	20/04/2015	10	Northampton	Far Cotton Recreation Centre	14	£55.00	£17.50
U1NFR060C2	Line Dancing For Improvers	Monday	Evening	20/04/2015	10	Northampton	Far Cotton Recreation Centre	20	£55.00	£17.50
U1NBC090D0	Pilates For Back Care	Monday	Morning	20/04/2015	1	Northampton	Abington Bowling Club	12	£5.00	£3.75
U1DCC099C0	Tai Chi	Monday	Morning	20/04/2015	10	Daventry	Daventry Community Centre	12	£55.00	£17.50
U1RDS070A1	Keyboard - Beginners	Monday	Evening	20/04/2015	10	South Northants	Elizabeth Woodville School (Roade)	12	£105.00	£30.00
U1NDS001C1	Pilates	Monday	Evening	20/04/2015	10	Northampton	The Duston School	15	£55.00	£17.50
U1NDS002C0	Pilates	Monday	Evening	20/04/2015	10	Northampton	The Duston School	14	£55.00	£17.50
U1KBC050C1	Bridge For Beginners	Monday	Evening	20/04/2015	10	Kettering	Kettering Bridge Club	20	£105.00	£30.00
U1NCC042D0	Make Up - Basic Bridal Hair	Monday	Evening	20/04/2015	1	Northampton	Caroline Chisholm School	10	£12.50	£9.38
U1DDS015C0	Tai Chi	Monday	Evening	20/04/2015	10	Daventry	Danetre And Southbrook Learning Village	12	£55.00	£17.50
S1NCC006B0	Starting A Small Business	Monday	Evening	20/04/2015	5	Northampton	Caroline Chisholm School	1	£50.00	£11.80
U1WMA020C0	Ladies Kickboxing	Monday	Evening	20/04/2015	8	Wellingborough	Shudan Martial Arts Academy	16	£45.00	£15.00
U1NWS006C1	Ballroom And Latin For Beginners	Monday	Evening	20/04/2015	10	Northampton	Weston Favell Academy	18	£105.00	£30.00
U1NWS007C1	Swimming For Beginners	Monday	Evening	20/04/2015	10	Northampton	Weston Favell Academy	10	£55.00	£17.50
U1NWS009C2	Swimming For Improvers	Monday	Evening	20/04/2015	10	Northampton	Weston Favell Academy	12	£55.00	£17.50
U1NWS010C2	Swimming For Improvers	Monday	Evening	20/04/2015	10	Northampton	Weston Favell Academy	12	£55.00	£17.50
U1OKM070A1	Guitar Year 1 Part 2	Monday	Evening	20/04/2015	10	East Northants	Oundle and Kings Cliffe Middle School	12	£105.00	£30.00
U1NCL070A0	Drawing & Painting Inc 2Wks Life Drawing	Monday	Morning	20/04/2015	10	Northampton	St Lukes Centre	12	£115.00	£40.00
U1NAC070A0	Violin	Monday	Evening	20/04/2015	10	Northampton	The Northampton Academy	12	£105.00	£30.00
U1NAC076A1	Pottery - Beginners	Monday	Evening	20/04/2015	10	Northampton	The Northampton Academy	12	£140.00	£46.25
U1IRH050C0	Yoga	Monday	Evening	20/04/2015	10	Wellingborough	Huxlow Science College	12	£80.00	£23.75
U1NBC101A0	Cake Decoration - Sugar Flowers	Tuesday	Morning	21/04/2015	8	Northampton	Abington Bowling Club	12	£105.00	£30.00
U1RSV173A0	Drawing & Painting	Tuesday	Morning	21/04/2015	10	East Northants	Ringstead Village Hall	10	£105.00	£30.00
U1NCC135C0	Tai Chi	Tuesday	Evening	21/04/2015	10	Northampton	Caroline Chisholm School	16	£80.00	£-1.00
U1NCC170A0	Silver Jewellery - Intermediate	Tuesday	Evening	21/04/2015	7	Northampton	Caroline Chisholm School	9	£78.00	£25.50
U1KOB150A0	Portrait 1	Tuesday	Morning	21/04/2015	1	East Northants	Old Brewery Studios	11	£97.50	£35.63
U1NCC141D0	Hair - Flapper Styles  1920's	Tuesday	Evening	21/04/2015	1	Northampton	Caroline Chisholm School	10	£17.00	£13.25
U1NWS115C0	Swim Fitness	Tuesday	Evening	21/04/2015	10	Northampton	Weston Favell Academy	12	£55.00	£17.50
U1NWS151C2	Swimming For Advanced Improvers	Tuesday	Evening	21/04/2015	10	Northampton	Weston Favell Academy	12	£55.00	£17.50
U1KMC100C1	Spinning For Beginners	Tuesday	Evening	21/04/2015	10	Kettering	Montsaye Community Sports Centre	12	£55.00	£17.50
U1KMC105C1	Swimming For Beginners	Tuesday	Evening	21/04/2015	10	Kettering	Montsaye Community Sports Centre	10	£55.00	£17.50
U1NCG180C1	Golf For Beginners	Tuesday	Evening	21/04/2015	10	Northampton	Collingtree Park Golf Course	12	£80.00	£23.75
U1SMA160A0	Drawing & Painting Inc 2Wks Life Drawing	Tuesday	Evening	21/04/2015	10	Northampton	Malcolm Arnold Academy	12	£115.00	£40.00
U1CBW176A1	Upholstery & Restoration For Beginners	Tuesday	Evening	21/04/2015	8	Corby	Brooke Weston	12	£105.00	£30.00
U1NCL170A0	Drawing & Painting Inc 2Wks Life Drawing	Tuesday	Morning	21/04/2015	10	Northampton	St Lukes Centre	10	£115.00	£40.00
U1KBA170A0	Celebration Cakes	Tuesday	Evening	21/04/2015	10	Kettering	Buccleuch Academy	12	£105.00	£30.00
U1KBA178A1	Guitar Year 1 Part 3	Tuesday	Evening	21/04/2015	10	Kettering	Buccleuch Academy	12	£105.00	£30.00
U1NAC111C1	Salsa Beginners	Tuesday	Evening	21/04/2015	10	Northampton	The Northampton Academy	16	£67.50	£20.63
U1NAC122C0	Yoga	Tuesday	Evening	21/04/2015	10	Northampton	The Northampton Academy	14	£80.00	£23.75
U1NAC131C1	Waltz For Beginners	Tuesday	Evening	21/04/2015	10	Northampton	The Northampton Academy	16	£67.50	£20.63
U1NAC145A0	Printmaking	Tuesday	Evening	21/04/2015	6	Northampton	The Northampton Academy	11	£75.00	£30.00
U1NAC178A3	Pottery - Advanced	Tuesday	Evening	21/04/2015	10	Northampton	The Northampton Academy	12	£140.00	£46.25
U1NMH200C0	Tai Chi	Wednesday	Morning	22/04/2015	10	Northampton	St Mark Church Hall	12	£55.00	£17.50
U1NWM205D0	Aromatherapy And Massage - Introduction	Wednesday	Evening	22/04/2015	5	Northampton	Abington Bowling Club	8	£55.00	£17.50
U1WVC234A0	Acrylics And Oils	Wednesday	Morning	22/04/2015	5	Wellingborough	Victoria Centre	12	£55.00	£17.50
U1WCH270A0	Bobbin Lace Making - All Levels	Wednesday	Evening	22/04/2015	10	Wellingborough	Sir Christopher Hatton Academy	12	£105.00	£30.00
U1LVH210C0	Yoga	Wednesday	Morning	22/04/2015	10	Corby	Laxton Village Hall	15	£55.00	£17.50
U1JDH222C1	Running For Beginners	Wednesday	Evening	22/04/2015	10	Northampton	John Dryden House	12	£55.00	£17.50
U1GNC216A0	Upholstery Traditional (4 Separate Weds)	Wednesday	Morning	22/04/2015	4	South Northants	Greens Norton Community Centre	12	£125.00	£35.00
U1NCC213C0	Tai Chi	Wednesday	Evening	22/04/2015	10	Northampton	Caroline Chisholm School	16	£55.00	£17.50
U1NCC269A1	Learn To Sing	Wednesday	Evening	22/04/2015	10	Northampton	Caroline Chisholm School	12	£105.00	£30.00
U1NCC289A1	Upholstery & Restoration For Beginners	Wednesday	Evening	22/04/2015	8	Northampton	Caroline Chisholm School	12	£85.00	£25.00
U1BCB200A1	Cake Decoration For Total Beginners	Wednesday	Afternoon	22/04/2015	7	Northampton	Bespoke Cake & Bake	12	£92.50	£26.88
U1NWS245C2	Tango For Improvers	Wednesday	Evening	22/04/2015	10	Northampton	Weston Favell Academy	16	£67.50	£20.63
U1WMA202C0	Martial Art - Jeet Kune Do	Wednesday	Evening	22/04/2015	8	Wellingborough	Shudan Martial Arts Academy	15	£45.00	£15.00
U1NWS201C1	Swimming For Beginners	Wednesday	Evening	22/04/2015	10	Northampton	Weston Favell Academy	10	£55.00	£17.50
U1NWS203C1	Swimming For Beginners	Wednesday	Evening	22/04/2015	10	Northampton	Weston Favell Academy	10	£55.00	£17.50
U1NWS244C1	Tango For Beginners	Wednesday	Evening	22/04/2015	10	Northampton	Weston Favell Academy	16	£67.50	£20.63
U1FGA210A2	Sculpting The Human Form In Clay - Int	Wednesday	Afternoon	22/04/2015	10	South Northants	Green Acres Farm Studio	12	£255.00	£142.50
U1FGA220A3	Sculpting The Human Form In Clay - Adv	Wednesday	Evening	22/04/2015	10	South Northants	Green Acres Farm Studio	12	£255.00	£142.50
U1LHV272A0	Drawing & Painting	Wednesday	Morning	22/04/2015	10	Wellingborough	Little Harrowden Village Hall	11	£105.00	£30.00
U1FGA200A1	Sculpting The Human Form In Clay - Beg	Wednesday	Morning	22/04/2015	10	South Northants	Green Acres Farm Studio	12	£255.00	£142.50
U1BHG222C1	Golf For Beginners	Wednesday	Evening	22/04/2015	10	Northampton	Brampton Heath Golf Club	12	£80.00	£23.75
U1TWO275A1	Dressmaking Part 3 - Unfinished Projects	Wednesday	Evening	22/04/2015	10	South Northants - Towcester	The Forum, Towcester	10	£105.00	£30.00
U1TWO276A0	Dressmaking - Summer Sewing	Wednesday	Morning	22/04/2015	10	South Northants - Towcester	The Forum, Towcester	12	£105.00	£30.00
U1NCL201A1	Feltwork - A Complete Introduction	Wednesday	Morning	22/04/2015	5	Northampton	St Lukes Centre	12	£65.00	£27.50
U1NCL202A0	Crafternoons	Wednesday	Afternoon	22/04/2015	4	Northampton	St Lukes Centre	12	£50.00	£20.00
U1IRH200C0	Pilates	Wednesday	Evening	22/04/2015	10	Wellingborough	Huxlow Science College	15	£55.00	£17.50
U1KBA233D0	Complementary Therapies - A Variety Of	Wednesday	Evening	22/04/2015	5	Kettering	Buccleuch Academy	10	£55.00	£17.50
U1CTS200A0	Design And Decorate A Wedding Cake	Wednesday	Evening	22/04/2015	10	Corby	Corby Technical School	12	£105.00	£30.00
U1BGC370A0	Cake Decoration - Sugar Flowers	Wednesday	Evening	22/04/2015	8	Northampton	Campion School	12	£85.00	£25.00
U1NFR333C1	Ballroom And Latin For Beginners	Thursday	Evening	23/04/2015	10	Northampton	Far Cotton Recreation Centre	20	£105.00	£30.00
U1BLB370A0	Drawing & Painting	Thursday	Morning	23/04/2015	10	Kettering	Burton Latimer Baptist Church	10	£105.00	£30.00
U1BLB371A0	Drawing & Painting	Thursday	Afternoon	23/04/2015	10	Kettering	Burton Latimer Baptist Church	7	£105.00	£30.00
U1RDS370A2	Keyboard - Intermediate	Thursday	Evening	23/04/2015	10	South Northants	Elizabeth Woodville School (Roade)	12	£105.00	£30.00
U1HRS323C0	Stable Management- Caring For Your Horse	Thursday	Morning	23/04/2015	1	Northampton	Holcot Riding School	6	£23.25	£17.63
U1NBR301C1	Swimming For Beginners	Thursday	Evening	23/04/2015	10	Northampton	Barry Road School Baths	10	£55.00	£17.50
U1NBR303C2	Swimming For Improvers	Thursday	Evening	23/04/2015	10	Northampton	Barry Road School Baths	8	£55.00	£17.50
U1NCC270A0	Silver Jewellery	Thursday	Evening	23/04/2015	7	Northampton	Caroline Chisholm School	9	£78.00	£25.50
U1CAG345C2	Golf For Improvers	Thursday	Evening	23/04/2015	10	Northampton	Cold Ashby Golf Club	12	£80.00	£23.75
U1NCC393B1	An Introduction To Garden Design	Thursday	Evening	23/04/2015	6	Northampton	Caroline Chisholm School	16	£65.00	£20.00
U1SMA372A3	Take Better Pictures - Advanced	Thursday	Evening	23/04/2015	6	Northampton	Malcolm Arnold Academy	12	£80.00	£23.75
U1BHG313C2	Golf For Improvers	Thursday	Evening	23/04/2015	10	Northampton	Brampton Heath Golf Club	12	£80.00	£23.75
